AGENCY,STATION NAME,TYPE OF CHARGER,NO. OF PLUGS,ADDRESS,CITY,POSTCODE,BOROUGH,PUBLIC CHARGER?,FEE FOR CITY DRIVERS,LATITUDE,LONGITUDE,COMMUNITY DISTRICT,COUNCIL DISTRICT,CENSUS TRACT 2020,BIN,BBL,NEIGHBORHOOD TABULATION AREA (NTA) (2020)
DEP,NYC FLEET / DEP_LFRK115+116,Level 2 Charger,2,58-17 Junction Blvd,Flushing,11373,Queens,,,40.735229,-73.865098,404,21,455,4047312,4019180025,QN0402
DEP,NYC FLEET / DEP_LFRK117+118,Level 2 Charger,2,58-17 Junction Blvd,Flushing,11373,Queens,,,40.735229,-73.865098,404,21,455,4047312,4019180025,QN0402
DEP,NYC FLEET / DEP_MARGWW#1,Level 2 Charger,2,41158 New York 28,Margaretville,12455,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_MNREPAIR-1,Level 2 Charger,2,28 Pike St,New York,10002,Manhattan,,,40.71282,-73.992461,103,1,8,,,MN0301
DEP,NYC FLEET / DEP_MNRPR_1_L3,Level 3 Fast Charger,1,30 Pike St,New York,10002,Manhattan,,,40.712735,-73.99245,103,1,8,1003286,1002750028,MN0301
DEP,NYC FLEET / DEP_MNSEWR_1_L3,Level 3 Fast Charger,1,886 St Nicholas Ave,New York,10032,Manhattan,,,40.83028,-73.941602,109,9,23501,1075503,1020690026,MN0903
DEP,NYC FLEET / DEP_MNSEWR_2_L3,Level 3 Fast Charger,1,886 St Nicholas Ave,New York,10032,Manhattan,,,40.83028,-73.941602,109,9,23501,1075503,1020690026,MN0903
DEP,NYC FLEET / DEP_NEWTOWN CRE,Level 2 Charger,2,329 Greenpoint Ave,Brooklyn,11222,Brooklyn,,,40.731483,-73.946271,301,33,57902,3332517,3025250001,BK0101
DEP,NYC FLEET / DEP_NEWTOWNC-S1,EV Solar Arc Charger,1,267 Greenpoint Ave,Greenpoint,11222,Brooklyn,,,40.730718,-73.948891,301,33,57902,3398219,3025250001,BK0101
DEP,NYC FLEET / DEP_NEWTOWNC-S2,EV Solar Arc Charger,1,267 Greenpoint Ave,Greenpoint,11222,Brooklyn,,,40.730718,-73.948891,301,33,57902,3398219,3025250001,BK0101
DEP,NYC FLEET / DEP_OAKWOOD BEA,Level 2 Charger,2,751 Mill Road,Staten Island,10306,Staten Island,,,40.552071,-74.116133,503,50,12805,5135536,5050670500,SI0301
DEP,NYC FLEET / DEP_OWLS HE,Level 2 Charger,2,6700 Shore Rd,Brooklyn,11220,Brooklyn,,,40.6418,-74.034055,310,47,34,3391506,3058350001,BK1001
DEP,NYC FLEET / DEP_OWLSHD_1_L3,Level 3 Fast Charger,1,6700 Shore Rd,Brooklyn,11220,Brooklyn,,,40.6418,-74.034055,310,47,34,3391506,3058350001,BK1001
DEP,NYC FLEET / DEP_OWLSHD_2_L3,Level 3 Fast Charger,1,6700 Shore Rd,Brooklyn,11220,Brooklyn,,,40.6418,-74.034055,310,47,34,3391506,3058350001,BK1001
DEP,NYC FLEET / DEP_PORTJERVIS,Level 2 Charger,2,43 N Maple Ave,Port Jervis,12771,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_PRDGT_1_L3,Level 3 Fast Charger,1,1875 Ralph Ave,Bergen Beach,11234,Brooklyn,,,40.631422,-73.91852,318,46,69601,3398530,3083380001,BK1802
DEP,NYC FLEET / DEP_PRTRCH_1_L3,Level 3 Fast Charger,1,1801 Richmond Terr,Staten Island,10310,Staten Island,,,40.637232,-74.125556,501,49,13302,5000000,5001850400,SI0106
DEP,NYC FLEET / DEP_PRTRCH_2_L3,Level 3 Fast Charger,1,1801 Richmond Terr,Staten Island,10310,Staten Island,,,40.637232,-74.125556,501,49,13302,5000000,5001850400,SI0106
DEP,NYC FLEET / DEP_PRTRCH_3_L3,Level 3 Fast Charger,1,1801 Richmond Terrace,Staten Island,10310,Staten Island,,,40.637232,-74.125556,501,49,13302,5000000,5001850400,SI0106
DEP,NYC FLEET / DEP_PRTRCH_4_L3,Level 3 Fast Charger,1,1801 Richmond Terrace,Staten Island,10310,Staten Island,,,40.637232,-74.125556,501,49,13302,5000000,5001850400,SI0106
DEP,NYC FLEET / DEP_PRTRCH_5_L3,Level 3 Fast Charger,1,1801 Richmond Terrace,Staten Island,10310,Staten Island,,,40.637232,-74.125556,501,49,13302,5000000,5001850400,SI0106
DEP,NYC FLEET / DEP_PTJRVS_1_L3,Level 3 Fast Charger,1,46 North Maple Avenue,Port Jervis,12771,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_Q7-1,Level 2 Charger,2,133-25 32nd Ave,Queens,11354,Queens,,,40.766974,-73.835301,407,20,869,4100766,4044060001,QN0707
DEP,NYC FLEET / DEP_QNS180ST-S1,EV Solar Arc Charger,1,106-36 180Th Street,Jamaica,11433,Queens,,,40.703128,-73.77772,412,27,414,4459328,4103350032,QN1202
DEP,NYC FLEET / DEP_QNSREPAIR01,Level 2 Charger,2,106-36 180Th St,Jamaica,11433,Queens,,,40.703128,-73.77772,412,27,414,4459328,4103350032,QN1202
DEP,NYC FLEET / DEP_QNSREPAIR02,Level 2 Charger,2,106-36 180Th St,Jamaica,11433,Queens,,,40.703128,-73.77772,412,27,414,4459328,4103350032,QN1202
DEP,NYC FLEET / DEP_QNSREPAIR03,Level 2 Charger,2,106-36 180Th St,Jamaica,11433,Queens,,,40.703128,-73.77772,412,27,414,4459328,4103350032,QN1202
DEP,NYC FLEET / DEP_QNSREPAIR04,Level 2 Charger,2,106-36 180Th St,Jamaica,11433,Queens,,,40.703128,-73.77772,412,27,414,4459328,4103350032,QN1202
DEP,NYC FLEET / DEP_QNSRPR_1_L3,Level 3 Fast Charger,1,106-36 180th St,Queens,11433,Queens,,,40.703128,-73.77772,412,27,414,4459328,4103350032,QN1202
DEP,NYC FLEET / DEP_QNSRPR_2_L3,Level 3 Fast Charger,1,106-36 180th St,Queens,11433,Queens,,,40.703128,-73.77772,412,27,414,4459328,4103350032,QN1202
DEP,NYC FLEET / DEP_RED HOOK,Level 2 Charger,2,63 Flushing Ave,Brooklyn,11205,Brooklyn,,,40.69802,-73.974986,302,33,543,3335129,3020230001,BK0261
DEP,NYC FLEET / DEP_RHWWTP_1_L3,Level 3 Fast Charger,1,63 Flushing Ave,Brooklyn,11205,Brooklyn,,,40.69802,-73.974986,302,33,543,3335129,3020230001,BK0261
DEP,NYC FLEET / DEP_RHWWTP_2_L3,Level 3 Fast Charger,1,63 Flushing Ave,Brooklyn,11205,Brooklyn,,,40.69802,-73.974986,302,33,543,3335129,3020230001,BK0261
DEP,NYC FLEET / DEP_ROCKAWAY106,Level 2 Charger,2,5-36 Beach Channel Dr,Queens,11694,Queens,,,,,,,,,,
DEP,NYC FLEET / DEP_SH18_1_L3,Level 3 Fast Charger,1,20 Westlake Dr,Valhalla,10595,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_SHAFT10-1,Level 2 Charger,2,1286 US-6,Carmel Hamlet,10512,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_SHAFT10-2,Level 2 Charger,2,1286 US-6,Carmel Hamlet,10512,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_SHAFT18,Level 2 Charger,2,20 Westlake Dr,Valhalla,10595,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_SHAFT18-2,Level 2 Charger,2,1 W Westlake Dr,Valhalla,10595,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_SHAFT18-3,Level 2 Charger,2,1 W Westlake Dr,Valhalla,10595,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_SHAFT18-4,Level 2 Charger,2,20 Westlake Dr,Valhalla,10595,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_SHFT10_1_L3,Level 3 Fast Charger,1,1286 U.S. 6,Carmel Hamlet,10512,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_SIREPAIR-S1,EV Solar Arc Charger,1,182 Joline Ave,Staten Island,10307,Staten Island,,,40.508319,-74.235614,503,51,24401,5087579,5078410154,SI0305
DEP,NYC FLEET / DEP_SIREPAIR-S2,EV Solar Arc Charger,1,182 Joline Ave,Staten Island,10307,Staten Island,,,40.508319,-74.235614,503,51,24401,5087579,5078410154,SI0305
DEP,NYC FLEET / DEP_SMAINT_1_L3,Level 3 Fast Charger,1,350 Flushing Ave,Brooklyn,11205,Brooklyn,,,40.69834,-73.960921,303,33,1237,3054189,3018820001,BK0301
DEP,NYC FLEET / DEP_SMAINT_2_L3,Level 3 Fast Charger,1,350 Flushing Ave,Brooklyn,11205,Brooklyn,,,40.69834,-73.960921,303,33,1237,3054189,3018820001,BK0301
DEP,NYC FLEET / DEP_SUTTON_1_L3,Level 3 Fast Charger,1,465 Columbus Avenue,Valhalla,10595,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_SUTTON_2_L3,Level 3 Fast Charger,1,465 Columbus Avenue,Valhalla,10595,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_TALLMAN-1,Level 2 Charger,2,182 Powells Cove Blvd,Queens,11356,Queens,,,,,,,,,,
DEP,NYC FLEET / DEP_TALLMAN-2,Level 2 Charger,2,182 Powells Cove Blvd,Queens,11356,Queens,,,,,,,,,,
DEP,NYC FLEET / DEP_TALLMAN-3,Level 2 Charger,2,182 Powells Cove Blvd,Queens,11356,Queens,,,,,,,,,,
DEP,NYC FLEET / DEP_TALLMAN-4,Level 2 Charger,2,182 Powells Cove Blvd,Queens,11356,Queens,,,,,,,,,,
DEP,NYC FLEET / DEP_TALLMAN-5,Level 2 Charger,2,182 Powells Cove Blvd,Queens,11356,Queens,,,,,,,,,,
DEP,NYC FLEET / DEP_TALLMAN-6,Level 2 Charger,2,182 Powells Cove Blvd,Queens,11356,Queens,,,,,,,,,,
DEP,NYC FLEET / DEP_TALLMAN-7,Level 2 Charger,2,182 Powells Cove Blvd,Queens,11356,Queens,,,,,,,,,,
DEP,NYC FLEET / DEP_TALLMAN-8,Level 2 Charger,2,182 Powells Cove Blvd,Queens,11356,Queens,,,,,,,,,,
DEP,NYC FLEET / DEP_TALLMAN-9,Level 2 Charger,2,182 Powells Cove Blvd,Queens,11356,Queens,,,,,,,,,,
DEP,NYC FLEET / DEP_TALLMN_1_L3,Level 3 Fast Charger,1,127-01 Powell Cove Blvd,Queens,11356,Queens,,,40.793864,-73.840525,407,19,939,4453834,4039250001,QN0701
DEP,NYC FLEET / DEP_TALLMN_2_L3,Level 3 Fast Charger,1,127-01 Powell Cove Blvd,Queens,11356,Queens,,,40.793864,-73.840525,407,19,939,4453834,4039250001,QN0701
DEP,NYC FLEET / DEP_TANNRSVLE-1,Level 2 Charger,2,130 Allen Lane,Tannersville,12485,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_TNRVLE_1_L3,Level 3 Fast Charger,1,130 Allen Lane,Tannersville,12485,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_W135ST#1,Level 2 Charger,2,725 W 135Th St,New York,10031,Manhattan,,,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEP_W135ST#2,Level 2 Charger,2,725 W 135Th St,New York,10031,Manhattan,,,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEP_WARDMRNE-1,Level 2 Charger,1,148 6 Dr,New York,10035,Manhattan,,,40.788869,-73.920097,111,8,240,1088060,1018190015,MN1191
DEP,NYC FLEET / DEP_WARDNEWADMN,Level 2 Charger,2,104 B Rd,New York,10035,Manhattan,,,40.787146,-73.925083,111,8,240,1088039,1018190015,MN1191
DEP,NYC FLEET / DEP_WARDS ISLAN,Level 2 Charger,2,Hell Gate Cir,New York,10035,Manhattan,,,,,,,,,,
DEP,NYC FLEET / DEP_WARDS_1_L3,Level 3 Fast Charger,1,104 B Rd,New York,10035,Manhattan,,,40.787146,-73.925083,111,8,240,1088039,1018190015,MN1191
DEP,NYC FLEET / DEP_WARDS_2_L3,Level 3 Fast Charger,1,104 B Rd,New York,10035,Manhattan,,,40.787146,-73.925083,111,8,240,1088039,1018190015,MN1191
DEP,NYC FLEET / DEP_WARDS_3_L3,Level 3 Fast Charger,1,142 A Rd,New York,10035,Manhattan,,,40.785113,-73.923366,111,8,240,1088037,1018190015,MN1191
DEP,NYC FLEET / DEP_WARDS_4_L3,Level 3 Fast Charger,1,142 A Rd,New York,10035,Manhattan,,,40.785113,-73.923366,111,8,240,1088037,1018190015,MN1191
DEP,NYC FLEET / DEP_WARDS_5_L3,Level 3 Fast Charger,1,142 A Rd,New York,10035,Manhattan,,,40.785113,-73.923366,111,8,240,1088037,1018190015,MN1191
DEP,NYC FLEET / DEP_WARDS_6_L3,Level 3 Fast Charger,1,142 A Rd,New York,10035,Manhattan,,,40.785113,-73.923366,111,8,240,1088037,1018190015,MN1191
DEP,NYC FLEET / DEP_WARDS_7_L3,Level 3 Fast Charger,1,149 8 Dr,New York,10035,Manhattan,,,40.788166,-73.919762,111,8,240,1088059,1018190015,MN1191
DEP,NYC FLEET / DEP_WARDS_8_L3,Level 3 Fast Charger,1,149 8 Dr,New York,10035,Manhattan,,,40.788166,-73.919762,111,8,240,1088059,1018190015,MN1191
DEP,NYC FLEET / DEP_WARDSADMN-1,Level 2 Charger,1,106 2Nd Dr,New York,10035,Manhattan,,,40.788715,-73.924539,111,8,240,1088029,1018190015,MN1191
DEP,NYC FLEET / DEP_WARDS-ARC,EV Solar Arc Charger,1,111 3Rd Dr,New York,10035,Manhattan,,,40.787573,-73.924403,111,8,240,1088032,1018190015,MN1191
DEP,NYC FLEET / DEP_WARDSTLR-1,Level 2 Charger,1,143 A Rd,New York,10035,Manhattan,,,40.785113,-73.923366,111,8,240,1088038,1018190015,MN1191
DEP,NYC FLEET / DEP_WARDTRLR116,Level 2 Charger,2,116 4Th Dr,New York,10035,Manhattan,,,40.791082,-73.921051,111,8,240,1088022,1018190030,MN1191
DEP,NYC FLEET / DEP_WDRC#1,Level 2 Charger,2,3525 State Highway 10,Deposit,13754,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_WS_JEROME,Level 2 Charger,2,3327-3549 Jerome Ave,West Bronx,10468,Bronx,,,40.879456,-73.885016,207,11,421,,,BX0703
DEP,NYC FLEET / DEP_WS465COLU1,Level 2 Charger,2,465 Columbus Ave,Valhalla,10595,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_WS465COLU2,Level 2 Charger,2,465 Columbus Ave,Valhalla,10595,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP_WT_HP_ADMIN,Level 2 Charger,2,1260 Ryawa Ave,Bronx,10474,Bronx,,,40.804742,-73.885322,202,17,9302,2118134,2027800002,BX0201
DEP,NYC FLEET / DEP_WT_HP_CONST,Level 2 Charger,2,1260 Ryawa Ave,Bronx,10474,Bronx,,,40.804742,-73.885322,202,17,9302,2118134,2027800002,BX0201
DEP,NYC FLEET / DEP_WT_PAEDERGA,Level 2 Charger,2,1887 Ralph Ave,Brooklyn,11234,Brooklyn,,,40.631239,-73.918502,318,46,69601,3398349,3083380001,BK1802
DEP,NYC FLEET / DEP_WTNEWTOWN-1,Level 2 Charger,1,289-369 Greenpoint Ave,Brooklyn,11222,Brooklyn,,,40.730973,-73.947675,301,33,57902,,,BK0101
DEP,NYC FLEET / DEPCNY_ISL_1_L3,Level 3 Fast Charger,1,2509 Knapp St,Sheepshead Bay,11235,Brooklyn,,,40.592085,-73.932521,315,46,628,3404766,3088340175,BK1503
DEP,NYC FLEET / DEPCNY_ISL_2_L3,Level 3 Fast Charger,1,3002 Knapp St,Sheepshead Bay,11235,Brooklyn,,,,,,,,,,
DEP,NYC FLEET / DEPDOWNSVILLE_1,Level 2 Charger,2,20 New York City Highway 30A,Downsville,13755,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEPDOWNSVILLE_2,Level 2 Charger,2,40 New York City Highway 30A,Downsville,13755,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEPDOWNSVILLE_3,Level 2 Charger,2,20 New York City Highway 30A,Downsville,13755,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEPDOWNSVILLE_4,Level 2 Charger,2,20 New York City Highway 30A,Downsville,13755,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEPDOWNSVILLE_5,Level 2 Charger,2,20 New York City Highway 30A,Downsville,13755,Upstate,,,,,,,,,,
DEP,NYC FLEET / DEP-FMC,Level 2 Charger,2,58-30 Grand Ave,Maspeth,11378,Queens,,,40.719651,-73.91119,405,30,525,4059931,4026810001,QN0501
DEP,NYC FLEET / DEPJAMAICA_1_L3,Level 3 Fast Charger,1,150-20 134th St,Queens,11420,Queens,,,40.662964,-73.806765,410,31,716,4459547,4119000002,QN8381
DEP,NYC FLEET / DEPJAMAICA_2_L3,Level 3 Fast Charger,1,150-20 134 Street,Queens,11430,Queens,,,40.662964,-73.806765,410,31,716,4459547,4119000002,QN8381
DEP,NYC FLEET / DEPJAMAICA_3_L3,Level 3 Fast Charger,1,150-20 134th St,Queens,11420,Queens,,,40.662964,-73.806765,410,31,716,4459547,4119000002,QN8381
DEP,NYC FLEET / DEPJAMAICA_4_L3,Level 3 Fast Charger,1,150-20 134 Street,Queens,11436,Queens,,,40.662964,-73.806765,410,31,716,4459547,4119000002,QN8381
DEP,NYC FLEET / DEPNEWTOWNCRK01,Level 2 Charger,2,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,,,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
DEP,NYC FLEET / DEPNEWTOWNCRK02,Level 2 Charger,2,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,,,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
DEP,NYC FLEET / DEPNEWTOWNCRK03,Level 2 Charger,2,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,,,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
DEP,NYC FLEET / DEPNORTHRIVER01,Level 2 Charger,1,750 W 145Th St,New York,10031,Manhattan,,,40.827108,-73.95466,109,7,225,1086244,1021010100,MN0903
DEP,NYC FLEET / DEPNRVWWTP_1_L3,Level 3 Fast Charger,1,725 W 135Th St,New York,10031,Manhattan,,,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEPNRVWWTP_2_L3,Level 3 Fast Charger,1,725 W 135th St,New York,10031,Manhattan,,,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEPNRVWWTP_3_L3,Level 3 Fast Charger,1,725 W 135th St,New York,10031,Manhattan,,,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEPNRVWWTP_4_L3,Level 3 Fast Charger,1,725 W 135th St,New York,10031,Manhattan,,,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEPNRVWWTP_5_L3,Level 3 Fast Charger,1,725 W 135th St,New York,10031,Manhattan,,,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEPNRVWWTP_6_L3,Level 3 Fast Charger,1,725 W 135th St,New York,10031,Manhattan,,,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEPNRVWWTP_7_L3,Level 3 Fast Charger,1,725 W 135th St,New York,10031,Manhattan,,,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEPNRVWWTP_8_L3,Level 3 Fast Charger,1,725 W 135th St,New York,10031,Manhattan,,,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEPNRVWWTP_9_L3,Level 3 Fast Charger,1,735 W 135th St,New York,10031,Manhattan,,,40.821408,-73.958161,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEPNRVWWTP10_L3,Level 3 Fast Charger,1,735 W 135th St,New York,10031,Manhattan,,,40.821408,-73.958161,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEPNRVWWTP11_L3,Level 3 Fast Charger,1,735 W 135th St,New York,10031,Manhattan,,,40.821408,-73.958161,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEPNRVWWTP12_L3,Level 3 Fast Charger,1,735 W 135th St,New York,10031,Manhattan,,,40.821408,-73.958161,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEPNRVWWTP13_L3,Level 3 Fast Charger,1,735 W 135th St,New York,10031,Manhattan,,,40.821408,-73.958161,109,7,22301,1084789,1021010117,MN0902
DEP,NYC FLEET / DEPNTWNCRK_1_L3,Level 3 Fast Charger,1,327 Greenpoint Ave,Greenpoint,11222,Brooklyn,,,40.731351,-73.946628,301,33,57902,3336623,3025250001,BK0101
DEP,NYC FLEET / DEPNTWNCRK_2_L3,Level 3 Fast Charger,1,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,,,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
DEP,NYC FLEET / DEPNTWNCRK_3_L3,Level 3 Fast Charger,1,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,,,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
DEP,NYC FLEET / DEPNTWNCRK_4_L3,Level 3 Fast Charger,1,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,,,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
DEP,NYC FLEET / DEPNTWNCRK_5_L3,Level 3 Fast Charger,1,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,,,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
